,title,url,compnay_logo,company,id,company_url,how_to_apply,location,type,created_at,lat ,long
,Full-stack Software Engineer (web-apps),https://jobs.github.com/positions/407ca74f-406c-4ced-b050-8d7d22fc5c74,https://jobs.github.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbytEIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--6e1b14ee366b17adf5a06ae302f0c2e22c15adf8/e-Potek_logo.png,e-Potek SA,407ca74f-406c-4ced-b050-8d7d22fc5c74,https://www.e-potek.ch,"<p>Please send your resume to <a href=""mailto:florian+jobs@e-potek.ch"">florian+jobs@e-potek.ch</a>, write your email in french to be considered.</p>
",Genève,Full Time,Tue May 19 11:39:40 UTC 2020,#FIELD!,#FIELD!
,(Senior) Java Developer,https://jobs.github.com/positions/82ff3104-4094-474e-bf86-77613da1d566,https://jobs.github.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBb3VEIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--e9ec0001949416c6134ef85603602c0867f95955/logo_innogames.png,InnoGames GmbH,82ff3104-4094-474e-bf86-77613da1d566,https://www.innogames.com,"<p><a href=""https://www.innogames.com/career/detail/job/-senior-java-developer/?s=GitHub"">https://www.innogames.com/career/detail/job/-senior-java-developer/?s=GitHub</a></p>
",Hamburg,Full Time,Tue May 19 06:44:35 UTC 2020,53.5511,9.9937
,Full-Stack Python Engineer,https://jobs.github.com/positions/c3a02250-b246-4bac-98c9-f0d74c0ee2e9,https://jobs.github.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBb2VEIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--6f69e419e13fd692a92bee4a71cedc67ebc0c0a6/Gorgias@2x.png,Gorgias,c3a02250-b246-4bac-98c9-f0d74c0ee2e9,https://wwww.gorgias.com/,"<p>submit resume here for remote: <a href=""https://jobs.lever.co/gorgias/b3ace40a-5c9a-4d04-8973-141a08c5f4a4"">https://jobs.lever.co/gorgias/b3ace40a-5c9a-4d04-8973-141a08c5f4a4</a></p>
<p>submit for paris office: <a href=""https://jobs.lever.co/gorgias/4941e908-f866-4d79-8492-d76a206b7eae"">https://jobs.lever.co/gorgias/4941e908-f866-4d79-8492-d76a206b7eae</a></p>
<p>submit for san francisco office: <a href=""https://jobs.lever.co/gorgias/7593ae85-f5df-4384-93bf-0efa4ffa9f5e"">https://jobs.lever.co/gorgias/7593ae85-f5df-4384-93bf-0efa4ffa9f5e</a></p>
",Europe,Full Time,Mon May 18 22:52:19 UTC 2020,54.526,15.2551
,Humbly Confident Senior Android Developer,https://jobs.github.com/positions/9fe0989f-e21c-4d70-872a-56a7d7b4abdf,https://jobs.github.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBb0tEIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--4e9f54ab826383ab5241412f92adcaf9aefdd45f/YNAB_wordmark_blue-LG.png,You Need A Budget (YNAB),9fe0989f-e21c-4d70-872a-56a7d7b4abdf,http:,"<p>Apply here: <a href=""https://ynab.recruiterbox.com/jobs/fk0qvv6"">https://ynab.recruiterbox.com/jobs/fk0qvv6</a></p>
",Remote,Full Time,Mon May 18 22:33:12 UTC 2020,43.0059,-123.8926
,Senior Data Warehouse Developer,https://jobs.github.com/positions/146c36b3-ad34-4a40-9c16-c55653593593,https://jobs.github.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBb1NEIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--f15482014a156cad11ddd3188ea31dcab98a37ab/db-logo.jpeg,Defyned Brands,146c36b3-ad34-4a40-9c16-c55653593593,https://www.defynedbrands.com/,"<p>Apply Here: <a href=""https://defynedbrands.clearcompany.com/careers/jobs/907b18cc-8342-73cc-075d-e802fccb6d80/apply?source=1249781-CS-33637"">https://defynedbrands.clearcompany.com/careers/jobs/907b18cc-8342-73cc-075d-e802fccb6d80/apply?source=1249781-CS-33637</a></p>
",Austin,Full Time,Mon May 18 22:34:11 UTC 2020,30.25,-97.75
,Senior .NET Full Stack Web Developer,https://jobs.github.com/positions/356c82b2-fee2-400f-8a55-e67c6c0d3299,https://jobs.github.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbnVEIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--5a2e999bfce9e496441a9a47801474dc89864caf/Proliant%20-%20Web%20Logo.png,Proliant,356c82b2-fee2-400f-8a55-e67c6c0d3299,http://www.proliant.com,"<p>Please Email Your Resume to <a href=""mailto:CLarkin@Proliant.com"">CLarkin@Proliant.com</a> or go to the link below:</p>
<p><a href=""https://bit.ly/3bM0GBY"">https://bit.ly/3bM0GBY</a></p>
",Atlanta,Full Time,Mon May 18 16:28:44 UTC 2020,33.755,-84.39
,Springa - Junior Software Developer,https://jobs.github.com/positions/5dde7ff2-0fb9-46e3-9371-8e5614c2c7e9,,Meritocracy srl,5dde7ff2-0fb9-46e3-9371-8e5614c2c7e9,,"<p>Scopri di più e candidati su Meritocracy.is!</p>
<p><a href=""https://meritocracy.is/it/springa/junior-software-developer-87722?utm_source=github&amp;utm_medium=referral&amp;utm_campaign=springa_junior_software_developer"">https://meritocracy.is/it/springa/junior-software-developer-87722?utm_source=github&amp;utm_medium=referral&amp;utm_campaign=springa_junior_software_developer</a></p>
",Milan,Full Time,Mon May 18 13:56:19 UTC 2020,45.4667,9.1833
,"Android Engineer, Remote",https://jobs.github.com/positions/e589561e-9d19-49eb-9501-c907601094e3,"https://jobs.github.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaE9DIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--f7c6a129e27540a321738e2324353927ac13891b/Bending%20Spoons%20-%20Logo,%20black.png",Bending Spoons,e589561e-9d19-49eb-9501-c907601094e3,https://bendingspoons.com/index.html,"<p>Please notice that only applications submitted through our website will be considered. Apply here: <a href=""https://bndspn.com/2z48C3O"">https://bndspn.com/2z48C3O</a></p>
",Headquarters,Full Time,Fri Apr 17 16:20:40 UTC 2020,46.2482,-122.7921
,Software EntwicklerIn für REST Schnittstellen,https://jobs.github.com/positions/998aadd0-cbdb-4e81-b058-484eb48638a9,https://jobs.github.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbmlEIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--8b2296549cd37e352cf7e89460f5ea06cc7c84fe/logo-180x180.png,LDB Labordatenbank GmbH,998aadd0-cbdb-4e81-b058-484eb48638a9,https://labordatenbank.at,"<p><a href=""https://labordatenbank.at/pages/index/jobs_dev"">https://labordatenbank.at/pages/index/jobs_dev</a></p>
",Remote,Full Time,Sun May 17 14:43:40 UTC 2020,43.0059,-123.8926
,Senior Infrastructure Engineer,https://jobs.github.com/positions/1fb55c33-9a44-49ad-82db-7aabf67559fe,https://jobs.github.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbVNEIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--f71087d56e49ba9ffeb98a2be3476bbfafa98164/Lendeavor_logo_lg.png,Lendeavor,1fb55c33-9a44-49ad-82db-7aabf67559fe,https://www.lendeavor.com/,"<p>Please apply online at <a href=""https://www.lendeavor.com/careers"">https://www.lendeavor.com/careers</a></p>
",San Francisco,Full Time,Fri May 15 20:17:53 UTC 2020,37.7749,122.4194
,Full Stack Web/Javascript Developer,https://jobs.github.com/positions/5180386d-8397-4245-9908-e9123b21a74c,https://jobs.github.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbDZEIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--acaa0775b8594628e32e9359a96fd6d77a2a0b3d/Daventry%20Solutions%20Logos%20-%20Red%20Feather2.png,"Daventry Solutions, LLC",5180386d-8397-4245-9908-e9123b21a74c,http:,"<p>Email resume to: <a href=""mailto:robert@davsol.net"">robert@davsol.net</a></p>
",Remote,Part Time,Fri May 15 13:00:34 UTC 2020,43.0059,-123.8926
,Software Engineer (The Identity Team),https://jobs.github.com/positions/f90fada7-efae-4f7c-9dff-1ce43156573f,https://jobs.github.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbFdEIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--2326d25a5747f6fe83b88ae89eb1d3d308cde905/Microsoft%20logo.jpeg,Microsoft,f90fada7-efae-4f7c-9dff-1ce43156573f,http://www.microsoft.com,"<p><a href=""https://vonq.io/2T6QEVG"">Click here to apply!</a></p>
",Dublin,Full Time,Fri May 15 10:40:14 UTC 2020,53.3478,-6.2597
,Software Engineer - Site Reliability Engineering (SRE),https://jobs.github.com/positions/5f7472fc-a858-4b0b-981e-3e66885def5c,https://jobs.github.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBa3lEIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--6774d090861f7f1a020de61725aaea6269e8919c/Microsoft.png,Microsoft,5f7472fc-a858-4b0b-981e-3e66885def5c,http://http,"<p><a href=""https://vonq.io/3br3ft2"">Click here to apply!</a></p>
",Dublin,Full Time,Thu May 14 12:58:16 UTC 2020,53.3478,-6.2597
,C# Developer,https://jobs.github.com/positions/6072588f-76e1-44db-9013-ece50994502b,https://jobs.github.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBa3FEIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--552356f7578f2e1177388c4b0df135242d29640b/Coolblue%20logo.jpg,Coolblue,6072588f-76e1-44db-9013-ece50994502b,http://careersatcoolblue.com,"<p>Like what you see? You can become a Coolbluer, <a href=""https://www.careersatcoolblue.com/vacancies/c-developer/?utm_source=Github&amp;utm_medium=jobboard&amp;utm_campaign=Github_C"">apply now</a>!</p>
",Rotterdam,Full Time,Thu May 14 10:13:06 UTC 2020,51.9167,4.5
,PHP Senior Developer (m/w/d) in Vollzeit und 100% Homeoffice/Remote,https://jobs.github.com/positions/118aa2a8-133b-436f-9d68-cb62935d608f,https://jobs.github.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBa09EIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--a7aa5871e649c11de37de109177d49e0de1ace47/FundraisingBox_Logo.png,FundraisingBox c/o Wikando GmbH,118aa2a8-133b-436f-9d68-cb62935d608f,https://www.fundraisingbox.com/,"<p><a href=""https://tracking.gohiring.com/h/2443ef642cc6ac66648c8712651820531195ec50fb5b45ba1f9ed78666c2de54"">application form</a></p>
",Remote,Full Time,Wed May 13 18:05:17 UTC 2020,43.0059,-123.8926
,Fullstack-Entwickler (gn) Java/JavaScript ,https://jobs.github.com/positions/468a6a7c-aec5-47f9-a957-e35fd177dd39,https://jobs.github.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBanFEIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--a4022ff0015e783354891461934a8748f2597159/0%20(5).png,Projekt 3T GmbH,468a6a7c-aec5-47f9-a957-e35fd177dd39,https://projekt-3t.com/,"<p><a href=""https://projekt-3t.join.com/jobs/1028390-fullstack-entwickler-gn-java-javascript-hamburg?pid=357a3b4531918760973f&amp;utm_source=github_jobs&amp;utm_medium=paid&amp;utm_campaign=single%2Bposting&amp;utm_content=fullstack-entwickler%2Bgn%2Bjava%2Bjavascript%2B-%2Bhamburg"">https://projekt-3t.join.com/jobs/1028390-fullstack-entwickler-gn-java-javascript-hamburg?pid=357a3b4531918760973f&amp;utm_source=github_jobs&amp;utm_medium=paid&amp;utm_campaign=single%2Bposting&amp;utm_content=fullstack-entwickler%2Bgn%2Bjava%2Bjavascript%2B-%2Bhamburg</a></p>
",Hamburg,Full Time,Wed May 13 14:46:26 UTC 2020,53.5511,9.9937
,Berufseinstieg als Junior Fullstack-Entwickler (gn) Java/JavaScript über Onboarding Campus,https://jobs.github.com/positions/2d7aca49-fa2f-458d-be92-29b72a5b139d,https://jobs.github.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBamlEIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--33889448d2519935b33526003706fc73addf5908/0%20(5).png,"Projekt 3T GmbH	",2d7aca49-fa2f-458d-be92-29b72a5b139d,https://projekt-3t.com/,"<p><a href=""https://projekt-3t.join.com/jobs/1028540-berufseinstieg-als-junior-fullstack-entwickler-gn-java-javascript-ueber-onboarding-campus?pid=357a3b4531918760973f&amp;utm_source=github_jobs&amp;utm_medium=paid&amp;utm_campaign=single%2Bposting&amp;utm_content=berufseinstieg%2Bals%2Bjunior%2Bfullstack-entwickler%2Bgn%2Bjava%2Bjavascript%2Bueber%2Bonboarding%2Bcampus"">https://projekt-3t.join.com/jobs/1028540-berufseinstieg-als-junior-fullstack-entwickler-gn-java-javascript-ueber-onboarding-campus?pid=357a3b4531918760973f&amp;utm_source=github_jobs&amp;utm_medium=paid&amp;utm_campaign=single%2Bposting&amp;utm_content=berufseinstieg%2Bals%2Bjunior%2Bfullstack-entwickler%2Bgn%2Bjava%2Bjavascript%2Bueber%2Bonboarding%2Bcampus</a></p>
",Hamburg,Full Time,Wed May 13 14:42:19 UTC 2020,53.5511,#FIELD!
,Senior forensisch software-engineer AI en data-science,https://jobs.github.com/positions/c9678728-4d87-4fb7-851d-52cfaab111e2,https://jobs.github.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBamFEIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--3bd4cdeba56e927094a573be63e5065c97d5e92f/Rijksoverheid.jpg,Rijksoverheid,c9678728-4d87-4fb7-851d-52cfaab111e2,http://www.werkenvoornederland.nl,"<p>Het Rijk hecht waarde aan een diverse en inclusieve organisatie. Werken in divers samengestelde teams maakt ons effectiever, innovatiever en het werk leuker. Eenieder wordt daarom uitgenodigd te <a href=""http://www.werkenvoornederland.nl/vacatures/senior-forensisch-software-engineer-ai-en-data-science-NFI-2020-0007?utm_source=github&amp;utm_medium=jobboard&amp;utm_campaign=&amp;utm_term=nfi200007"">solliciteren</a>.</p>
",The Hague,Full Time,Wed May 13 14:22:08 UTC 2020,52.0833,4.3167
,DevOps Engineer (m/f/d),https://jobs.github.com/positions/2306690b-ec01-409b-832f-8c7c416a725b,https://jobs.github.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBak9EIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--e8bbb0617c91daec755bb80764d6ecf40836a0e2/digital%20charging%20solutions.jpg,Digital Charging Solutions GmbH,2306690b-ec01-409b-832f-8c7c416a725b,https://digitalchargingsolutions.com/web/dcs-global,"<p><a href=""https://vonq.io/3dzEbRZ"">Click here for the application form!</a></p>
",München,Full Time,Wed May 13 13:00:49 UTC 2020,#FIELD!,#FIELD!
,backend medior developer,https://jobs.github.com/positions/1636261d-d10e-4c58-b54c-263dfe3225c6,https://jobs.github.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaTJEIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--df6511efd07117305e140a5e23181c3f9a06875f/Politie%20logo.jpg,Politie,1636261d-d10e-4c58-b54c-263dfe3225c6,http:,"<p>Klik hier om te solliciteren: <a href=""https://vonq.io/3fKYiPa"">https://vonq.io/3fKYiPa</a></p>
",The Hague,Full Time,Wed May 13 09:01:47 UTC 2020,52.0833,4.3167
,Senior PHP Developer (m/f/d),https://jobs.github.com/positions/2fc8f6fa-834d-430f-b8d7-a733cff26b31,https://jobs.github.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaXFEIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--0fb9b86fce495449e52e6ea528930f18c84e65ed/logo-bild3-1.png,Thinksurance GmbH,2fc8f6fa-834d-430f-b8d7-a733cff26b31,https://www.thinksurance.de,"<p>Email your resumee to Vasil Vasilev (CTO) via <a href=""mailto:jobs@thinksurance.de"">jobs@thinksurance.de</a></p>
",Frankfurt,Full Time,Tue May 12 09:07:20 UTC 2020,50.1167,8.6833
,Front End Developer,https://jobs.github.com/positions/3e882851-f7ad-44b9-b4a9-4bb6a16cd7f3,https://jobs.github.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaWVEIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--402c10d8bffb6a9028f2963bec2c109a865a796c/Lawrence%20Berkeley%20Lab%20blue%20background.png,Lawrence Berkeley National Laboratory ,3e882851-f7ad-44b9-b4a9-4bb6a16cd7f3,http://www.lbl.gov,"<p><a href=""http://50.73.55.13/counter.php?id=181256"">http://50.73.55.13/counter.php?id=181256</a></p>
",Berkeley,Full Time,Tue May 12 20:52:24 UTC 2020,37.8717,-122.2728
,Webentwickler Frontend / Frontend-Entwickler (m/w/d),https://jobs.github.com/positions/e83dc90b-ee0d-4ec5-b077-2307b99f4894,https://jobs.github.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaVdEIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--5c7cecf1b2c362a08784d0c8719ab69c72c93f60/thumb_photo_1589192142.png,Digitale Offensive GmbH,e83dc90b-ee0d-4ec5-b077-2307b99f4894,https://www.digitale-offensive.de/,"<p><a href=""https://ltpx.nl/a5Vn1jz"">Click here to apply.</a></p>
",Bielefeld,Full Time,Tue May 12 12:52:41 UTC 2020,52.0167,8.5167
,Full stack (lead) Developer (Senior),https://jobs.github.com/positions/24e946fa-c05f-4ab4-b10c-024a8532cf9c,https://jobs.github.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaUdEIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--3376f620c4ff238a06e5cc264fb8ce7562fe258f/RGB_logo_darknavy-01.png,Cryptohopper,24e946fa-c05f-4ab4-b10c-024a8532cf9c,https://www.cryptohopper.com,"<p>Please go to <a href=""https://cryptohopper.freshteam.com/jobs/_DYO7bOKfIlF/full-stack-lead-developer-senior"">https://cryptohopper.freshteam.com/jobs/_DYO7bOKfIlF/full-stack-lead-developer-senior</a> and send your resume and motivation letter. Please note, that we only accept applications from individuals. Not agencies/companies.</p>
",Amsterdam,Full Time,Tue May 12 10:59:24 UTC 2020,52.3667,4.9
,Software Tech Lead,https://jobs.github.com/positions/f860e218-92f7-4268-b640-1b59528b6490,https://jobs.github.com/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaDJEIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--f765327a98fc5653616f7b09716d35f7d2dc81cf/Clarity_logo_color.png,Clarity Movement Co.,f860e218-92f7-4268-b640-1b59528b6490,http://www.clarity.io,"<p>Please apply by completing this <a href=""https://airtable.com/shrzLJaA5te3s2eey?prefill_Applying%20for=Software%20Lead&amp;prefill_Source=GitHub"">form</a></p>
",Remote,Full Time,Tue May 12 00:31:57 UTC 2020,43.0059,-123.8926
,Software Engineer,https://jobs.github.com/positions/2900cb13-c69d-4187-bd81-ff27f8085be3,,Signify Health,2900cb13-c69d-4187-bd81-ff27f8085be3,http:,"<p><a href=""https://grnh.se/be1379553us"">https://grnh.se/be1379553us</a></p>
",New York,Full Time,Mon May 11 21:43:23 UTC 2020,40.7127,-74.0059
